
Company Name,Address,City,State,Zip,Phone,Email,Website,Description,Representatives,Date Contacted,Contact Method
ArtsNow,,,,,,,,AboutArtsNow works to leverage the arts and culture sector in Summit County to support and strengthen the region’s economic and social vibrancy.,,,
AfterMath,,,,,,,,"AboutAfterMath, is an independent creative and media advertising agency located in Northeast Ohio.",,,
American Greetings,,,,,,cindy.luke@amgreetings.com; cindy.luke@amgreetings.com,,"AboutAs the leader in meaningful connections, American Greetings is committed to making the world a more thoughtful and caring place. Founded in 1906, the creator and manufacturer of innovative social expression products offers paper cards, digital greetings, gift wrap, party goods and more to help consumers honor the people and moments in life that really matter. The Company's major greeting card brands are American Greetings, Papyrus, Recycled Paper Greetings and Carlton Cards. AmericanGreetin",,,
AfterMath,,,,,,,,"AboutAfterMath, is an independent creative and media advertising agency located in Northeast Ohio.",,,
American Red Cross,,,,,,,,AboutThe American Red Cross prevents and alleviates human suffering in the face of emergencies by mobilizing the power of volunteers and the generosity of donors.,,,
Art by Ali Cleveland,,,,,,,,,,,
Akron Public Schools,,,,,,,,,,,
Avery Dennison,,,,,,,,"AboutWe are a global materials science and digital identification solutions company with locations in over 50 countries, and we employ approximately 36,000 people worldwide.We provide branding and information labeling solutions, including pressure-sensitive materials, radio-frequency identification (RFID) inlays and tags, and a variety of converted products and solutions. We design and manufacture a wide range of labeling and functional materials that enhance branded packaging, carry or display ",,,
ArtsNow,,,,,,,,AboutArtsNow works to leverage the arts and culture sector in Summit County to support and strengthen the region’s economic and social vibrancy.,,,
AuF Drug Testing Services,,,,,,,,AboutWe are a TPA (Third Party Administrator) of drug and alcohol testing. We get companies set up to do drug and alcohol testing anywhere in the country. We also offer random drug testing programs.,,,
American Greetings,,,,,,cindy.luke@amgreetings.com; cindy.luke@amgreetings.com,,"AboutAs the leader in meaningful connections, American Greetings is committed to making the world a more thoughtful and caring place. Founded in 1906, the creator and manufacturer of innovative social expression products offers paper cards, digital greetings, gift wrap, party goods and more to help consumers honor the people and moments in life that really matter. The Company's major greeting card brands are American Greetings, Papyrus, Recycled Paper Greetings and Carlton Cards. AmericanGreetin",,,
Art of Sucre,,,,,,,,"AboutArt of Sucre started in 2016 when founder, Emily Harpel, was on her way home from her honeymoon and wanted to give a nostalgic childhood treat a chic upgrade. She secured all of the social media handles, ordered her first machine, and Art of Sucre was born. Art of Sucre started as an events based business spinning out of the box flavors of cotton candy at weddings, parties, concerts (Hi Arianna and Elton!), and so much more!In 2020, Emily knew that she either had to pivot her business or lo",,,
Assembly for the Arts,,,,,,,,"AboutAssembly for the Arts is a nonprofit, focusing on advocacy, cultural policy, racial equity initiatives, research, and marketing that elevates and unifies the region's arts and culture sector.",,,
Art by Ali Cleveland,,,,,,,,,,,
Akron AIDS Collaborative,,,,,,,,"AboutThe mission of the Akron AIDS Collaborative is to broaden the network of caring organizations in the minority community, to influence social norms that contribute to the prevention of HIV/AIDS, and to increase advocacy for social services for people of color who are living with HIV/AIDS and people who have suffered from sexual orientation stigma within the African-American community.",,,
"Anderson Project, LLC",,,,,,,,,,,
Assembly for the Arts,,,,,,,,"AboutAssembly for the Arts is a nonprofit, focusing on advocacy, cultural policy, racial equity initiatives, research, and marketing that elevates and unifies the region's arts and culture sector.",,,
Akron Community Foundation,,,,,,,,"AboutAkron Community Foundation is where generous families, individuals, companies and nonprofits make charitable dollars go the furthest for the permanent good of our community.",,,
"Anderson Project, LLC",,,,,,,,,,,
AuF Drug Testing Services,,,,,,,,AboutWe are a TPA (Third Party Administrator) of drug and alcohol testing. We get companies set up to do drug and alcohol testing anywhere in the country. We also offer random drug testing programs.,,,
Akron Community Foundation,,,,,,,,"AboutAkron Community Foundation is where generous families, individuals, companies and nonprofits make charitable dollars go the furthest for the permanent good of our community.",,,
Art of Sucre,,,,,,,,"AboutArt of Sucre started in 2016 when founder, Emily Harpel, was on her way home from her honeymoon and wanted to give a nostalgic childhood treat a chic upgrade. She secured all of the social media handles, ordered her first machine, and Art of Sucre was born. Art of Sucre started as an events based business spinning out of the box flavors of cotton candy at weddings, parties, concerts (Hi Arianna and Elton!), and so much more!In 2020, Emily knew that she either had to pivot her business or lo",,,
A Taste of Excellence,,,,,,,,"AboutA Taste of Excellence in NOE's largest premier catering company. Our team is dedicated to helping you execute our clients' visions flawlessly, from selecting the perfect menu to recommending fellow event vendors.",,,
Adobe Acrobat,,,,,,,,"AboutCreativity is in our DNA. Our game-changing innovations are redefining the possibilities of digital experiences. We connect content and data and introduce new technologies that democratize creativity, shape the next generation of storytelling, and inspire entirely new categories of business.",,,
American Red Cross,,,,,,,,AboutThe American Red Cross prevents and alleviates human suffering in the face of emergencies by mobilizing the power of volunteers and the generosity of donors.,,,
Axuall,,,,,,,,"AboutDeveloped with leading healthcare organizations, Axuall is a workforce intelligence company built on a national real-time Clinician Data Network.We connect health systems, staffing firms, and digital health groups to a vast array of data, providing insights for network planning, analytics, and reporting, while dramatically reducing onboarding and enrollment time via provider-enabled digital credentials.",,,
Azimuth Medical LLC,,,,,,,,"AboutOccupational health, minor care clinic, wellness, lab collections",,,
AURA Venue CLE LLC,,,,,,,,"AboutAURA is more than a venue, it's a whole vibe. We are an inclusive event venue in a uniquely beautiful industrial space, that's been meticulously updated with an exceptional focus on detail. AURA seats 550 guests comfortably and our packages include secured, gated parking for 300 cars. Perfect for weddings, social events, content creation, and micro-events with cultivated indoor suites and featuring an outdoor Courtyard.",,,
Akron Art Museum,,,,,,,,"AboutThe Akron Art Museum, dedicated to enriching lives through modern and contemporary art, showcases regional, national and international art created since 1850. The museum’s collection is presented in a spectacular facility designed by Viennese architectural firm Coop Himmelb(l)au and includes over 5,000 works of art, with a strong focus on contemporary painting, sculpture and photography. Nearly a dozen exhibitions each year present prominent artists in various media including painting, scul",,,
"Allison L. Harrison Law, LLC",,,,,,,,"AboutOur Clients are out most valuable assets. We demonstrate our appreciation for our Client with responsiveness. Our team makes it a priority to get back with clients in a timely manner, often within one business day. We know and love that our Client's goals may be different and we work with you to ensure our advice works for your businesses short and long term goals. This dedication to putting the Client first has allowed us to expand into our second office in Southeast Michigan. Now with off",,,
Akron AIDS Collaborative,,,,,,,,"AboutThe mission of the Akron AIDS Collaborative is to broaden the network of caring organizations in the minority community, to influence social norms that contribute to the prevention of HIV/AIDS, and to increase advocacy for social services for people of color who are living with HIV/AIDS and people who have suffered from sexual orientation stigma within the African-American community.",,,
AURA Venue CLE LLC,,,,,,,,"AboutAURA is more than a venue, it's a whole vibe. We are an inclusive event venue in a uniquely beautiful industrial space, that's been meticulously updated with an exceptional focus on detail. AURA seats 550 guests comfortably and our packages include secured, gated parking for 300 cars. Perfect for weddings, social events, content creation, and micro-events with cultivated indoor suites and featuring an outdoor Courtyard.",,,
"Allison L. Harrison Law, LLC",,,,,,,,"AboutOur Clients are out most valuable assets. We demonstrate our appreciation for our Client with responsiveness. Our team makes it a priority to get back with clients in a timely manner, often within one business day. We know and love that our Client's goals may be different and we work with you to ensure our advice works for your businesses short and long term goals. This dedication to putting the Client first has allowed us to expand into our second office in Southeast Michigan. Now with off",,,
Alzheimer's Association,,,,,,,,"AboutSince 1980, the Cleveland Area Chapter of the Alzheimer's Association has provided free care and support services to individuals and their families living in cities including Ashtabula, Cleveland, Mentor, Avon, Lorain and beyond.Our purpose is the following: to eliminate Alzheimer's disease through the advancement of research; to provide and enhance care and support for all affected, and to reduce the risk of dementia through the promotion of brain healthThe Alzheimer's Association Info-lin",,,
AFox Solutions,,,,,,,,"AboutOur company is a solutions provider. We believe in customer satisfaction is key to our success. We partner with companies to brand their identities through effective print, promo, and apparel campaigns and proven leadership. Our e-commerce sites, deep vendor base, quality products enable our customers to receive corporate identity, recognition, and return on their investment. Come grow with us! We care about people",,,
Avery Dennison,,,,,,,,"AboutWe are a global materials science and digital identification solutions company with locations in over 50 countries, and we employ approximately 36,000 people worldwide.We provide branding and information labeling solutions, including pressure-sensitive materials, radio-frequency identification (RFID) inlays and tags, and a variety of converted products and solutions. We design and manufacture a wide range of labeling and functional materials that enhance branded packaging, carry or display ",,,
Akron Art Museum,,,,,,,,"AboutThe Akron Art Museum, dedicated to enriching lives through modern and contemporary art, showcases regional, national and international art created since 1850. The museum’s collection is presented in a spectacular facility designed by Viennese architectural firm Coop Himmelb(l)au and includes over 5,000 works of art, with a strong focus on contemporary painting, sculpture and photography. Nearly a dozen exhibitions each year present prominent artists in various media including painting, scul",,,
Akron Pride Custom Tees,,,,,,,,"AboutWe specialize in customization.  We do T-Shirts for all sizes from Infant to Curvy.  Aprons, Facemask, Ornaments, Tote Bags etc..",,,
Akron Public Schools,,,,,,,,,,,
Akron Soul Train,,,,,,,,"AboutArtist residency program connecting and empowering the community and artists by granting fellowships that provide resources for all creative disciplines, thereby fostering a more vibrant downtown.",,,
